repo_name,total_resources,resource_types,nested_stacks,cross_stack_refs,custom_resources,sam_transforms,parameters,conditions,has_terraform,cfn_lines,aws_account_ids,app_ids
aws-waf-rules-automation-splunk,6,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::FMS::Policy|AWS::IAM::Role|AWS::SSM::Parameter|AWS::WAFv2::IPSet|AWS::WAFv2::RuleGroup,0,0,0,false,2,0,false,536,686137062481,none
aws-transit-public-elb-splunk,28,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,4,3,false,3,5,false,1867,242937548904|514712703977|686137062481|757620174545,APP-2102
aws-cloudwatch-metrics,9,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SSM::Parameter,0,0,0,false,2,0,false,397,none,none
ccsp-cdp-batch-utility-lambda,7,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::SecretsManager::Secret|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,982,336392948345|720720378559|780761660372,APP-2395
swaggergitsync,0,AWS::CloudFormation::Interface|AWS::S3::Bucket,0,0,0,false,1,0,false,101,none,APP-2102
emergency-website-backup-publish,8,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::Secret|AWS::SSM::Parameter,0,0,0,false,1,0,false,909,none, !Ref
ccsp-cdp-extract-monitoring,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,1003,580247275435|720720378559|780761660372,APP-2395
ccsp-cdp-ses-batch-env-lambda,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,3,0,false,990,336392948345|580247275435|720720378559|780761660372,APP-2395
ccsp-cdp-batch-step-function,2,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::IAM::Role|AWS::Logs::LogGroup|AWS::SSM::Parameter|AWS::StepFunctions::StateMachine,0,0,0,false,2,0,false,1655,780761660372,APP-2395
ccsp-cdp-eks-cluster,10,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ECR::Repository|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,0,0,0,false,2,0,false,807,720720378559,none
aws-lz-artifactory-token-renewal,12,AWS::CloudFormation::Interface|AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SES::ConfigurationSet|AWS::SES::ConfigurationSetEventDestination|AWS::SES::Template|AWS::SNS::Topic|AWS::SNS::TopicPolicy|AWS::SSM::Parameter,0,0,1,false,2,0,false,1168,420165488524,APP-2102
aws-eks-reference-implementation,37,AWS::AutoScaling::AutoScalingGroup|AWS::AutoScaling::LaunchConfiguration|AWS::CloudFormation::CustomResource|AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupEgress|AWS::EC2::SecurityGroupIngress|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::ECR::Repository|AWS::EKS::Cluster|AWS::IAM::Group|AWS::IAM::InstanceProfile|AWS::IAM::ManagedPolicy|AWS::IAM::Policy|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,0,1,1,false,6,3,false,2626,514712703977, !Ref|APP-2102
aws-amps-tags,6,AWS::CloudFormation::Interface|AWS::Events::Rule|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SSM::Parameter,0,0,0,false,1,0,false,355,686137062481,none
gis-geomartcloud-dpv-fidelity-lambda,6,AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SSM::Parameter,0,0,0,false,1,0,false,371,none, !Ref|APP-2675
